date,01_baseline,02_vix_lt20,03_vix_lt25,04_vix_lt30,05_roc_spike_20pct,06_roc_spike_30pct,07_roc_spike_50pct,08_roc_abs_30pct,09_panic_only_gt20,10_panic_only_gt25,11_combined_lt30_no_spike
2020-01-09,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-10,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-13,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-14,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-15,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-16,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-17,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-21,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-22,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-23,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-24,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-27,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-29,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-30,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-31,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-05,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-06,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-07,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-10,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-11,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-12,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-13,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-14,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-18,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-19,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-20,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-21,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-24,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-25,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-26,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-27,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-02-28,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-02,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-03,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-04,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-05,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-06,103239.6,103239.6,103239.6,103239.6,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-09,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-10,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-11,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-12,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-13,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-16,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-17,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-18,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-19,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-20,87809.05,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,85053.65,85053.65,100000.0
2020-03-23,71808.88,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,69555.56,69555.56,100000.0
2020-03-24,71808.88,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,69555.56,69555.56,100000.0
2020-03-25,71808.88,103239.6,103239.6,87809.05,100000.0,100000.0,100000.0,100000.0,69555.56,69555.56,100000.0
2020-03-26,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-03-27,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-03-30,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-03-31,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-01,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-02,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-03,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-06,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-07,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-08,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-09,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-13,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-14,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-15,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-16,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-17,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-20,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-21,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-22,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-23,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-24,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-27,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-28,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-29,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-04-30,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-01,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-04,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-05,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-06,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-07,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-08,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-11,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-12,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-13,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-14,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-15,84128.65,103239.6,103239.6,87809.05,117156.34,117156.34,117156.34,117156.34,81488.74,81488.74,100000.0
2020-05-18,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-19,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-20,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-21,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-22,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-26,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-27,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-28,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-05-29,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-01,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-02,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-03,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-04,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-05,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-08,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
2020-06-09,88131.96,103239.6,103239.6,87809.05,122731.29,122731.29,122731.29,122731.29,85366.43,85366.43,100000.0
