ticker,ex_date,entry_price,exit_price,div_amount,shares,franking,gu_yield,entry_rsi,price_pnl,div_income,franking_credit,total_gu_pnl,ret_price,ret_gu,stopped_out,held_days
JBH.AX,2023-08-24,47.790000915527344,44.584748499897394,1.15,10,1.0,0.03437658739034185,65.17485810278096,-32.5525241562995,0.0,0.0,-32.5525241562995,-0.0681157638264931,-0.0681157638264931,True,15
JBH.AX,2025-02-20,99.7300033569336,94.4000015258789,1.7,5,1.0,0.024351462416777166,54.144049875887994,-27.150009155273438,8.5,3.642857142857143,-15.007152012416295,-0.054447023446100924,-0.030095561029323765,False,15
JBH.AX,2025-08-21,113.8499984741211,114.0,2.05,4,1.0,0.025723069546084477,55.60595819952255,0.100006103515625,8.2,3.514285714285714,11.814291817801339,0.0002196005815897246,0.025942670127674202,False,15
DSK.AX,2023-09-13,1.1349999904632568,0.9399999976158142,0.03,440,1.0,0.03775959754823475,50.265150212491776,-86.29999685287476,13.2,5.657142857142857,-67.4428539957319,-0.17280736399279797,-0.13504776644456323,False,15
DSK.AX,2024-03-11,0.8299999833106995,0.75,0.025,602,1.0,0.043029260761944556,22.790184667347148,-48.65998995304108,15.05,6.45,-27.15998995304108,-0.0973862044820003,-0.05435694372005576,False,15
DSK.AX,2024-09-11,1.0800000429153442,1.065000057220459,0.04,462,1.0,0.05291005080759639,68.94262636339784,-7.429993391036987,18.48,7.92,18.97000660896301,-0.014890959387116378,0.03801909142048001,False,15
DSK.AX,2025-09-09,0.8999999761581421,0.8149999976158142,0.02,555,1.0,0.03174603258701442,46.7740197799527,-47.674988090991974,11.1,4.757142857142857,-31.817845233849116,-0.0954454241320278,-0.06369939154501339,False,15
WOR.AX,2023-08-29,17.1200008392334,16.90999984741211,0.25,29,1.0,0.02086114717496996,51.862261440818,-6.590028762817383,7.25,3.107142857142857,3.7671140943254744,-0.013273502335985246,0.0075876448389847135,False,15
WOR.AX,2024-03-05,15.920000076293945,16.510000228881836,0.25,31,1.0,0.0224335964466903,55.790612358218745,17.79000473022461,7.75,3.321428571428571,28.86143330165318,0.03604718075249023,0.058480777199180524,False,15
WOR.AX,2024-09-02,14.40999984741211,14.760000228881836,0.25,34,1.0,0.024784376191856545,46.86213110800149,11.400012969970703,8.5,3.642857142857143,23.542870112827845,0.02326818200327746,0.048052558195134,False,15
WOR.AX,2025-03-04,14.25,14.34000015258789,0.25,35,1.0,0.025062656641604012,45.25645291762163,2.650005340576172,8.75,3.7500000000000004,15.150005340576172,0.005313293915942199,0.03037595055754621,False,15
WOR.AX,2025-09-02,12.90999984741211,14.229999542236328,0.25,38,1.0,0.02766404813044585,43.911535331408295,49.65998840332031,9.5,4.071428571428572,63.23141697474888,0.1012270964781879,0.12889114460863374,False,15
S32.AX,2023-09-14,3.4800000190734863,3.299999952316284,0.049824,143,1.0,0.020453201858341662,36.8549748850557,-26.240009546279907,7.124832,3.053499428571428,-16.06167811770848,-0.05272889920919015,-0.03227569735084849,False,15
S32.AX,2024-09-19,2.990000009536743,3.6700000762939453,0.045954,167,1.0,0.021956043886014142,43.2893801722548,113.06001114845276,7.674318,3.288993428571429,124.02332257702419,0.22642342897050574,0.24837947285651987,False,15
